smiles,pKi,Ki,protein_path
O=C1OC[C@@H](Cc(cc2)cc3c2OCO3)[C@@H]1Cc(cc1)cc2c1OCO2,3.428291168191312,373.0,4wnv_meeko.pdb
CC/C(/c1ccccc1)=C(/c(cc1)ccc1O)\c(cc1)ccc1OCCN,3.425968732272281,375.0,4wnv_meeko.pdb
C[C@@H](Cc(c(-c(c(OC)c1OC)c([C@@H]2OC(c3ccccc3)=O)cc1OC)c1OC)cc3c1OCO3)[C@]2(C)O,3.3990271043132516,399.0,4wnv_meeko.pdb
CC(C)[C@@H](C(N[C@H](C[C@@H]([C@H](Cc1ccccc1)NC(COc1c(C)cccc1C)=O)O)Cc1ccccc1)=O)N(CCCN1)C1=O,3.3872161432802645,410.0,4wnv_meeko.pdb
CC(C)(C)NC([C@H]1N(C[C@H](C[C@@H](Cc2ccccc2)C(N[C@H]([C@@H](C2)O)c3c2cccc3)=O)O)CCN(Cc2cnccc2)C1)=O,3.318758762624413,480.0,4wnv_meeko.pdb
CC(C)(C)NC([C@H]1N(C[C@H]([C@H](CSc2ccccc2)NC(c2c(C)c(O)ccc2)=O)O)C[C@@H](CCCC2)[C@@H]2C1)=O,3.318758762624413,480.0,4wnv_meeko.pdb
COc(cc1)ccc1NC(c1cc(-c2ccncc2)nc2ccccc12)=O,3.2676062401770314,540.0,4wnv_meeko.pdb
Cc(cc1)ccc1NC(c1cc(-c2ccncc2)nc2ccccc12)=O,3.2676062401770314,540.0,4wnv_meeko.pdb
CC(C)(C)CN(c(cc1)c(N2C)nc1N(C[C@@H]1CC3)[C@@H]3CN1C(c1nocc1)=O)C2=O,3.2676062401770314,540.0,4wnv_meeko.pdb
CC(C)(C)[Si](c1ccccc1)(c1ccccc1)OC[C@@H]1OC(C)(C)O[C@H]1[C@@H]([C@@H](CNC(c1ccccc1)=O)c(cc1)cc2c1OCO2)OCOC,3.2365720064370627,580.0,4wnv_meeko.pdb
O[C@@H]([C@H]([C@@H](C(c(c1c2O)cc3c2OCO3)=C2)NC1=O)O)[C@H]2O,3.2006594505464183,630.0,4wnv_meeko.pdb
C[C@@](CC[C@@H]([C@H]1CC2)[C@@](C)(CC3)[C@H]2CC3=O)([C@H](CC2)C(C=C3)=COC3=O)[C@@]12O,3.1804560644581312,660.0,4wnv_meeko.pdb
O=C(c1cc(-c2ccncc2)nc2ccccc12)Nc1ccccc1,3.154901959985743,700.0,4wnv_meeko.pdb
CC(C(N1c(cc2)ccc2O)=Nc2ncccc2C1=O)N(Cc1cnccc1)C(Cc(cc1)ccc1OC(F)(F)F)=O,3.1307682802690238,740.0,4wnv_meeko.pdb
