smiles,pKi,Ki,protein_path
CC1OC=C(CO)[C@@H](C2)C1CN(CC1)[C@@H]2c2c1c(cccc1)c1[nH]2,2.958607314841775,1100.0,4wnv_meeko.pdb
C[C@@H]([C@H]1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)OC=C2C(OC)=O,2.958607314841775,1100.0,4wnv_meeko.pdb
CC[C@H](CN(CC1)[C@@H](C2)c3c1c(c(OC)ccc1)c1[nH]3)[C@H]2/C(/C(OC)=O)=C\OC,2.958607314841775,1100.0,4wnv_meeko.pdb
CCN(CC(CC1)CCN1S(C)(=O)=O)C(C)Cc(cc1)cc2c1OCC2,2.8477116556169433,1420.0,4wnv_meeko.pdb
COc(cc1)ccc1OCC(CN(CC1)CCC1N(C(c(cc1)ccc1Cl)=O)c(cc1)ccc1F)O,2.6989700043360187,2000.0,4wnv_meeko.pdb
COc(cc1)ccc1OCC(CN(CC1)CCN1C(C(NCc1ccccc1)=O)c1ccc(C(F)(F)F)cc1)O,2.6989700043360187,2000.0,4wnv_meeko.pdb
COc(cc1)ccc1OCC(CN(CC1)CCC1N(C(c1ccccc1)=O)c1ccccc1)O,2.6989700043360187,2000.0,4wnv_meeko.pdb
Cc1cccc(C)c1OCC(CN(CC1)CCN1C(C(NCc1ccccc1)=O)c(cc1)ccc1F)O,2.6989700043360187,2000.0,4wnv_meeko.pdb
Cc1ccc(C(C(NCc2ccccc2)=O)N2CCN(CC(COc3c(C)cccc3C)O)CC2)cc1,2.6989700043360187,2000.0,4wnv_meeko.pdb
Cc1cccc(C)c1OCC(CN(CC1)CCN1C(C(NCc(cc1)ccc1OC)=O)c1ccc(C(F)(F)F)cc1)O,2.6989700043360187,2000.0,4wnv_meeko.pdb
CN(C1CCCCC1)C(CC1)CCN1c1nc(cccc2)c2n1Cc(cc1)ccc1F,2.687611050629408,2053.0,4wnv_meeko.pdb
COc1c(CN[C@H]2[C@@H](c3ccccc3)NCCC2)cc(C(C(F)(F)F)C(F)(F)F)cc1,2.677780705266081,2100.0,4wnv_meeko.pdb
C[C@@H]([C@@H](C1)[C@@H]2Cc3[n+]1ccc1c3[nH]c3c1cccc3)OC=C2C(OC)=O,2.657577319177794,2200.0,4wnv_meeko.pdb
CCCCCc1cc(O)c([C@@H]2C=C(C)CC[C@H]2C(C)=C)c(O)c1,2.616184634019569,2420.0,4wnv_meeko.pdb
C[C@@H]([C@@H](CN1C[C@@H](Cc(cc2)ccc2F)CCC1)O)NC(Nc1cc(-c2nnnn2C)ccc1)=O,2.585026652029182,2600.0,4wnv_meeko.pdb
CCC1C(CC2)CC(C(c3ccnc4ccccc34)O)N2C1,2.5528419686577806,2800.0,4wnv_meeko.pdb
CC[C@H](CN(CC1)[C@@H](C2)c3c1c(cccc1)c1[nH]3)[C@H]2/C(/C(OC)=O)=C\OC,2.5528419686577806,2800.0,4wnv_meeko.pdb
CC(C1[C@@H]2C[C@@H](c3c(CC4)c(cccc5)c5[nH]3)N4C1)NC=C2C(OC)=O,2.537602002101044,2900.0,4wnv_meeko.pdb
COc(cc1)ccc1OCC(CN(CC1)CCN1C(CNC(c1ccc(C(F)(F)F)cc1)=O)c1ccccc1)O,2.5228787452803374,3000.0,4wnv_meeko.pdb
Cc1cccc(C)c1OCC(CN(CC1)CCN1C(C(NCc(cc1)ccc1OC)=O)c(cc1)ccc1F)O,2.5228787452803374,3000.0,4wnv_meeko.pdb
COc(cc1)ccc1C(N(C1CCN(CC(COc(cc2)ccc2OC)O)CC1)c(cc1)ccc1F)=O,2.5228787452803374,3000.0,4wnv_meeko.pdb
COc(cc1)ccc1OCC(CN(CC1)CCN1C(CNC(c(cc1)ccc1F)=O)c1ccccc1)O,2.5228787452803374,3000.0,4wnv_meeko.pdb
Cc1ccc(C(C(NCc(cc2)ccc2OC)=O)N2CCN(CC(COc3c(C)cccc3C)O)CC2)cc1,2.5228787452803374,3000.0,4wnv_meeko.pdb
N#Cc1cn2c(C(N(CC3)CCC3c3c(C(F)(F)F)cccc3)=O)nnc2cc1,2.5044556624535517,3130.0,4wnv_meeko.pdb
C[C@@H]([C@H]([C@@H]1C2)C=[N+](CC3)[C@@H]2c2c3c(cccc3)c3[nH]2)OC=C1C(OC)=O,2.494850021680094,3200.0,4wnv_meeko.pdb
C=CC1C(CC2)C[C@@H]([C@@H](c3ccnc4ccccc34)O)N2C1,2.4559319556497243,3500.0,4wnv_meeko.pdb
C=CC1C(CC2)C[C@@H]([C@@H](c3c(cc(cc4)Cl)c4ncc3)O)N2C1,2.4559319556497243,3500.0,4wnv_meeko.pdb
COc(cc1)ccc1C(NCC(c1ccccc1)N1CCN(CC(COc(cc2)ccc2Cl)O)CC1)=O,2.3979400086720375,4000.0,4wnv_meeko.pdb
COc(cc1)ccc1OCC(CN(CC1)CCN1C(CNC(c1ccccc1)=O)c1ccccc1)O,2.3979400086720375,4000.0,4wnv_meeko.pdb
Cc1ccc(C(C(NCc2ccccc2)=O)N2CCN(CC(COc(cc3)ccc3OC)O)CC2)cc1,2.3979400086720375,4000.0,4wnv_meeko.pdb
COc1ccc(CNC(C(c2ccc(C(F)(F)F)cc2)N2CCN(CC(COc(cc3)ccc3OC)O)CC2)=O)cc1,2.3979400086720375,4000.0,4wnv_meeko.pdb
COc1c(CN[C@H]2[C@@H](c3ccccc3)NCCC2)cc(CC(F)(F)F)cc1,2.3716110699496884,4250.0,4wnv_meeko.pdb
Fc1cnc(N2CCN(CC3=NC(c4ccccc4)=NC3)CC2)nc1,2.318758762624413,4800.0,4wnv_meeko.pdb
Fc1ccc([C@H]2[C@H](COc(cc3)cc4c3OCO4)CNCC2)cc1,2.3142582613977365,4850.0,4wnv_meeko.pdb
