protein_path,ligand
./data/8efo_cleaned.pdb,NC(=O)c1cccc(C2C[C@@H]3CC[C@@H](C2)N3Cc2c(F)cccc2F)c1
./data/8efo_cleaned.pdb,COc1ccc2c3c1O[C@@H]1[C@]34CCN(C)[C@H](C2)[C@]42CC[C@@]1(OC)[C@@H](COCc1ccncc1)C2
./data/8efo_cleaned.pdb,CN1CC[C@]23c4cccc(O)c4O[C@H]2CCC[C@H]3C1
./data/8efo_cleaned.pdb,CCC(CC)Sc1nc2cc(Cl)c(N3CCN(CCO)CC3)cc2[nH]1
./data/8efo_cleaned.pdb,CNC(=O)CN1N=C(c2ccccc2)C2(CCN(C3CCC4CCCCC4C3)CC2)C1=O
./data/8efo_cleaned.pdb,C[C@H]1C[C@H]2C[C@@H](C1)C[C@H](N1[C@H]3CCC[C@@H]1C[C@H](n1c(=O)c(N4CC(C(=O)O)C4)nc4ccccc41)C3)C2
./data/8efo_cleaned.pdb,Cc1ccc2[nH]c3c(c2c1)CC(C)OC31CCC(c2ccccc2)(N(C)C)CC1
./data/8efo_cleaned.pdb,O=C1CC[C@@]2(NCC/C=C/c3ccc(Cl)cc3)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5
./data/8efo_cleaned.pdb,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1
./data/8efo_cleaned.pdb,O=C(CCCCCCCCC(=O)Oc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(CC2CC2)CC[C@]314)Oc1ccc2c(c1)[C@@]13CCCCC1[C@@H](C2)N(CC1CCC1)CC3
./data/8efo_cleaned.pdb,C[C@@H]1CN2CCN(Cc3cccnc3)C[C@@H]2C[C@]1(C)c1cccc(O)c1
./data/8efo_cleaned.pdb,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(N)=O
./data/8efo_cleaned.pdb,Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H]1Cc2ccccc2CN(CCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)C1=O
./data/8efo_cleaned.pdb,CCOCCN1CC[C@@]23Cc4nc5ccccc5cc4C[C@]2(O)[C@@H]1Cc1ccc(O)cc13.Cl.Cl
./data/8efo_cleaned.pdb,NC(=O)CNc1nc2ccccc2n([C@@H]2C[C@@H]3CC[C@H](C2)N3C2CCCCCCC2)c1=O
./data/8efo_cleaned.pdb,CC(C)NC(=O)C1=C(O)[C@H]2Oc3c(O)ccc4c3[C@]23CCN(CC2CC2)[C@@H](C4)[C@@]3(O)C1
./data/8efo_cleaned.pdb,CC(=O)C1=C(O)[C@H]2Oc3c(O)ccc4c3[C@]23CCN(CC2CC2)[C@@H](C4)[C@@]3(O)C1
./data/8efo_cleaned.pdb,CCS(=O)(=O)N1CCC(C(=O)NCCCN2CCN(c3ccccc3F)CC2)CC1
./data/8efo_cleaned.pdb,c1c2c(cc3sc(NN4CCNCC4)nc13)C[C@H]1[C@H]3CCCC[C@@]23CCN1CC1CC1
./data/8efo_cleaned.pdb,OCCn1cc(C2CCN(C3Cc4cccc5cccc3c45)CC2)c2cccnc21
./data/8efo_cleaned.pdb,Cc1ccc(C(c2ccccc2Cl)N2C3CCC2CC(O)(C2CCCN2Cc2ccccc2)C3)c(Cl)c1
./data/8efo_cleaned.pdb,C[C@@H]1CN(CCCc2ccccc2)[C@H]2C[C@H](NCC3CC3)C[C@]1(c1cccc(O)c1)C2.Cl.Cl
./data/8efo_cleaned.pdb,Oc1cccc(O[C@@H]2C[C@@H]3CC[C@H](C2)N3Cc2ccccc2)c1
./data/8efo_cleaned.pdb,COc1ccc2c(c1)[C@]13CCN(CC4CC4)[C@H](C2)[C@]1(O)C[C@H](CCO)C(=O)C3
./data/8efo_cleaned.pdb,NC(=O)[C@@]1(c2ccc(N)cn2)C[C@@H]2CC[C@H](C1)N2C(c1ccccc1Cl)c1ccccc1Cl
./data/8efo_cleaned.pdb,Cc1cc(N)c2cc(NC(=O)c3ccccc3COc3ccc(CNCCCCCN)cc3)ccc2n1
./data/8efo_cleaned.pdb,C[C@H]1C2Cc3cc4nc[nH]c4cc3[C@@]1(C)CCN2CC1CC1
./data/8efo_cleaned.pdb,Fc1ccc([C@@]2(CCNCc3ccccc3)CCOC3(CCCC3)C2)cc1
./data/8efo_cleaned.pdb,CN1CCC(c2ccccc2)(c2ccccc2)C1
./data/8efo_cleaned.pdb,CCCN(CCC)C1CCc2ccc(O)cc2C1(C)C
./data/8efo_cleaned.pdb,O=C1NC[C@H](Cc2ccccc2)N(C[C@H]2CCCN2C[C@H](Cc2ccc(O)cc2)N2C[C@H](Cc3ccc(O)cc3)N(CC3CCCCCC3)C(=O)C2=O)C1=O
./data/8efo_cleaned.pdb,CN1CC[C@@]23c4c5ccc(O)c4O[C@@H]2c2ncc(-c4ccc(Cl)cc4)cc2C[C@]3(OC(=O)CCc2ccccc2)[C@@H]1C5
./data/8efo_cleaned.pdb,CC(=O)N1CCC2(CCC(Cc3ccccc3)(N(C)C)CC2)C1
./data/8efo_cleaned.pdb,CCC(=O)N(c1ccccc1)C1CCN(CC(F)c2ccccc2F)CC1
./data/8efo_cleaned.pdb,COCCOCCOCCOCCOCCOCCOCCO[C@H]1CC[C@@]2(O)C3Cc4ccc(OC)c5c4[C@@]2(CCN3C)[C@H]1O5
./data/8efo_cleaned.pdb,NC(=O)c1cccc([C@@H]2C[C@@H]3CC[C@H](C2)N3CCN(CC2CCCC2)C(=O)[C@@H](O)CO)c1.O=C(O)C(F)(F)F
./data/8efo_cleaned.pdb,C[C@@H]1CN(CCCc2ccccc2)[C@@H]2CCC[C@]1(c1cccc(O)c1)C2.Cl
./data/8efo_cleaned.pdb,CCOc1ccc(Cc2nc3cc(NC(=N)c4cccs4)ccc3n2CCC2CCCN2C)cc1.Cl.Cl
./data/8efo_cleaned.pdb,COc1ccc2c3c1O[C@@H]1[C@]34CC[N+](C)(CC3CC3)[C@H](C2)[C@]42CC[C@@]1(OC)[C@@H](COCc1ccoc1)C2
./data/8efo_cleaned.pdb,O=C(NCCc1ccccc1)[C@H]1CCN(C(=O)Cc2ccc(O)cc2)[C@@H]1C(=O)NCCc1c[nH]c2ccccc12
./data/8efo_cleaned.pdb,CCC(=O)N(c1ccccc1)C1CCN(Cc2ccccc2)CC1
./data/8efo_cleaned.pdb,Cc1cc(C(N)=O)cc(C)c1C[C@H](N)C(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)O)[C@@H](C)O
./data/8efo_cleaned.pdb,CC1OC2(CCN(CCc3ccccc3F)CC2)CN(c2ccccc2)C1=O
./data/8efo_cleaned.pdb,COc1cc(C)c2c3c1O[C@H]1[C@@H](O)[C@H](C)C[C@H]4[C@@H](C2)N(C)CC[C@]314
./data/8efo_cleaned.pdb,C[C@H]1CN(CCO)CCN1c1cc2[nH]c(SC(C)(C)C)nc2cc1Cl
./data/8efo_cleaned.pdb,C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)O
./data/8efo_cleaned.pdb,O=C1/C(=C/c2ccccc2)C[C@]2(O)[C@@H]3Cc4ccc(O)c5c4[C@]2(CCN3CCc2ccccc2)[C@@H]1O5
./data/8efo_cleaned.pdb,CCc1ccc(C(=O)NCC2c3ccccc3CCN2C)cc1
./data/8efo_cleaned.pdb,CN1C(=O)c2ccccc2CC1CN1CCC2(CCc3ccccc32)CC1
./data/8efo_cleaned.pdb,CNC(=O)Cn1c(=O)n(C2CCN(CC3CCCCC3)CC2)c2ccccc21
./data/8efo_cleaned.pdb,CC(C)C[C@@H](NC(=O)[C@@H](CO[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O)NC(=O)[C@@H](CCCCN)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](C)NC(=O)[C@@H](CCCCN)NC(=O)[C@@H](CCC(=O)O)NC(=O)C(C)(C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H]1CCCN1C(=O)[C@@H](Cc1ccccc1)N(C)C(=O)CNC(=O)[C@H](C)NC(=O)[C@H](N)Cc1ccc(O)cc1)C(N)=O
./data/8efo_cleaned.pdb,CSCC[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccccc1)C(N)=O
./data/8efo_cleaned.pdb,CC[C@@H]1CN2CCc3c([nH]c4cccc(C)c34)[C@@H]2C[C@@H]1/C(=C\OC)C(=O)OC
./data/8efo_cleaned.pdb,COC(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1
./data/8efo_cleaned.pdb,CN(C)[C@]1(c2ccccc2)CC[C@@H](NCCc2c[nH]c3ccccc23)CC1.Cl.Cl
./data/8efo_cleaned.pdb,Oc1ccc2c(c1)[C@@]13CCN(CC4CC4)[C@H](C2)[C@@]1(O)Cc1c([nH]c2ccccc12)C3
./data/8efo_cleaned.pdb,CC1Cc2c([nH]c3ccccc23)C2(CCC(c3ccccc3)(N(C)C)CC2)N1
./data/8efo_cleaned.pdb,COCCOCCOCCOCCOCCOCCO[C@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CCC2)C1O5
